stop name,stop sequence
West Preston/Gilbert Rd #47,0
Jacka St/Gilbert Rd #45,1
Cooper St/Gilbert Rd #44,2
Murray Rd/Gilbert Rd #43,3
Cramer St/Gilbert Rd #42,4
Bruce St/Gilbert Rd #41,5
Bell St/Gilbert Rd #40,6
Latona Ave/Gilbert Rd #39,7
Oakover Rd/Gilbert Rd #38,8
Miller St/Gilbert Rd #37,9
Devon St/Miller St #36,10
St Georges Rd/Miller St #35,11
Miller St/St Georges Rd #34,12
Hutton St/St Georges Rd #33,13
Normanby Ave/St Georges Rd #32,14
Gadd St/St Georges Rd #31,15
Gladstone Ave/St Georges Rd #30,16
Arthurton Rd/St Georges Rd #29,17
Sumner Ave/St Georges Rd #28,18
Westbourne Gr/St Georges Rd #27,19
Clarke St/St Georges Rd #26,20
Miller St/St Georges Rd #25,21
Holden St/St Georges Rd #24,22
Park St/St Georges Rd #23,23
Scotchmer St/St Georges Rd #22,24
Alfred Cres/St Georges Rd #21,25
Fitzroy Bowls Club/Brunswick St #20,26
Newry St/Brunswick St #19,27
Alexandra Pde/Brunswick St #18,28
Leicester St/Brunswick St #17,29
Johnston St/Brunswick St #16,30
St David St/Brunswick St #15,31
King William St/Brunswick St #14,32
Gertrude St/Brunswick St #13,33
St Vincents Plaza/Victoria Pde #12,34
Albert St/Gisborne St #11,35
Parliament Railway Station/Macarthur St #10,36
Spring St/Collins St #8,37
Exhibition St/Collins St #7,38
Melbourne Town Hall/Collins St #6,39
Elizabeth St/Collins St #5,40
William St/Collins St #3,41
Spencer St/Collins St #1,42
D14-Southern Cross Station/Collins St,43
D15-Batman's Hill/Collins St,44
D16-Harbour Esp/Collins St,45
D17-Merchant St/Collins St,46
D18-Bourke St/Collins St,47